"","Code","Continent, Region, Country","century","decade","year","heights.cm","year_decade","height.in"
"162",440,"Lithuania","18","4","0",165.3,"1840",65.0787401574803
"163",440,"Lithuania","19","4","0",173.725,"1940",68.3956692913386
"164",578,"Norway","18","1","0",168.6,"1810",66.3779527559055
"165",578,"Norway","18","2","0",167.5,"1820",65.9448818897638
"166",578,"Norway","18","3","0",168.9,"1830",66.496062992126
"167",578,"Norway","18","4","0",168,"1840",66.1417322834646
"168",578,"Norway","18","5","0",169.1,"1850",66.5748031496063
"169",578,"Norway","18","6","0",169.7,"1860",66.8110236220472
"170",578,"Norway","18","7","0",170.4,"1870",67.0866141732283
"171",578,"Norway","18","8","0",171.1,"1880",67.3622047244095
"172",578,"Norway","18","9","0",171.1,"1890",67.3622047244095
"173",578,"Norway","19","0","0",172.03,"1900",67.7283464566929
"174",578,"Norway","19","1","0",173.3,"1910",68.2283464566929
"175",578,"Norway","19","2","0",176.25,"1920",69.3897637795276
"176",578,"Norway","19","3","0",176.9,"1930",69.6456692913386
"177",578,"Norway","19","4","0",177.5,"1940",69.8818897637795
"178",578,"Norway","19","5","0",178.1,"1950",70.1181102362205
"179",578,"Norway","19","6","0",179.3,"1960",70.5905511811024
"180",578,"Norway","19","7","0",179.5,"1970",70.6692913385827
"181",578,"Norway","19","8","0",179.7,"1980",70.748031496063
"182",752,"Sweden","18","3","0",168.1,"1830",66.1811023622047
"183",752,"Sweden","18","4","0",167.9,"1840",66.1023622047244
"184",752,"Sweden","18","5","0",168.4,"1850",66.2992125984252
"185",752,"Sweden","18","6","0",169.3,"1860",66.6535433070866
"186",752,"Sweden","18","7","0",170.3,"1870",67.0472440944882
"187",752,"Sweden","18","8","0",171.2,"1880",67.4015748031496
"188",752,"Sweden","18","9","0",172.4,"1890",67.8740157480315
"189",752,"Sweden","19","0","0",172.8,"1900",68.0314960629921
"190",752,"Sweden","19","1","0",173.2,"1910",68.1889763779528
"191",752,"Sweden","19","2","0",168.3,"1920",66.259842519685
"192",752,"Sweden","19","3","0",175.5,"1930",69.0944881889764
"193",752,"Sweden","19","4","0",178.5,"1940",70.2755905511811
"194",752,"Sweden","19","5","0",179.3,"1950",70.5905511811024
"195",752,"Sweden","19","6","0",180.1,"1960",70.9055118110236
"196",752,"Sweden","19","7","0",180,"1970",70.8661417322835
"197",752,"Sweden","19","8","0",180.4,"1980",71.0236220472441
"198",826,"United Kingdom of Great Britain and Northern Ireland","18","1","0",169.7,"1810",66.8110236220472
"199",826,"United Kingdom of Great Britain and Northern Ireland","18","2","0",169.1,"1820",66.5748031496063
"200",826,"United Kingdom of Great Britain and Northern Ireland","18","3","0",166.7,"1830",65.6299212598425
"201",826,"United Kingdom of Great Britain and Northern Ireland","18","4","0",166.5,"1840",65.5511811023622
"202",826,"United Kingdom of Great Britain and Northern Ireland","18","5","0",165.6,"1850",65.1968503937008
"203",826,"United Kingdom of Great Britain and Northern Ireland","18","6","0",166.6,"1860",65.5905511811024
"204",826,"United Kingdom of Great Britain and Northern Ireland","18","7","0",167.15,"1870",65.8070866141732
"205",826,"United Kingdom of Great Britain and Northern Ireland","18","8","0",167.95,"1880",66.1220472440945
"206",826,"United Kingdom of Great Britain and Northern Ireland","18","9","0",167.4,"1890",65.9055118110236
"207",826,"United Kingdom of Great Britain and Northern Ireland","19","0","0",169.367,"1900",66.6799212598425
"208",826,"United Kingdom of Great Britain and Northern Ireland","19","1","0",170.866,"1910",67.2700787401575
"209",826,"United Kingdom of Great Britain and Northern Ireland","19","2","0",171,"1920",67.3228346456693
"210",826,"United Kingdom of Great Britain and Northern Ireland","19","3","0",173.87,"1930",68.4527559055118
"211",826,"United Kingdom of Great Britain and Northern Ireland","19","4","0",174.9,"1940",68.8582677165354
"212",826,"United Kingdom of Great Britain and Northern Ireland","19","5","0",176,"1950",69.2913385826772
"213",826,"United Kingdom of Great Britain and Northern Ireland","19","6","0",176.9,"1960",69.6456692913386
"214",826,"United Kingdom of Great Britain and Northern Ireland","19","7","0",177.1,"1970",69.7244094488189
"215",826,"United Kingdom of Great Britain and Northern Ireland","19","8","0",176.83,"1980",69.6181102362205
"216",8,"Albania","18","8","0",170.1,"1880",66.9685039370079
"217",8,"Albania","18","9","0",169.8,"1890",66.8503937007874
"218",8,"Albania","19","0","0",169.2,"1900",66.6141732283464
"219",191,"Croatia","18","1","0",163.2,"1810",64.251968503937
"220",191,"Croatia","18","2","0",163.6,"1820",64.4094488188976
"221",191,"Croatia","18","3","0",163.5,"1830",64.3700787401575
"222",191,"Croatia","18","4","0",161.2,"1840",63.4645669291339
"223",191,"Croatia","18","5","0",168.1,"1850",66.1811023622047
"224",191,"Croatia","18","6","0",165.9,"1860",65.3149606299213
"225",191,"Croatia","18","7","0",166.8,"1870",65.6692913385827
"226",191,"Croatia","18","8","0",168.9,"1880",66.496062992126
"227",191,"Croatia","19","0","0",171.508,"1900",67.5228346456693
"228",191,"Croatia","19","3","0",176.1,"1930",69.3307086614173
"229",191,"Croatia","19","5","0",175.1,"1950",68.9370078740157
"230",191,"Croatia","19","6","0",178.2,"1960",70.1574803149606
"231",300,"Greece","18","7","0",168.5,"1870",66.3385826771653
"232",300,"Greece","18","8","0",167.26,"1880",65.8503937007874
"233",300,"Greece","19","0","0",169.6,"1900",66.7716535433071
"234",300,"Greece","19","1","0",168.1,"1910",66.1811023622047
"235",300,"Greece","19","2","0",168.4,"1920",66.2992125984252
"236",300,"Greece","19","3","0",167.5,"1930",65.9448818897638
"237",300,"Greece","19","4","0",169.2,"1940",66.6141732283464
"238",300,"Greece","19","5","0",173.7,"1950",68.3858267716535
"239",300,"Greece","19","6","0",177.6,"1960",69.9212598425197
"240",300,"Greece","19","8","0",177.3,"1980",69.8031496062992
"241",380,"Italy","18","1","0",164.1,"1810",64.6062992125984
"242",380,"Italy","18","2","0",165.8,"1820",65.2755905511811
"243",380,"Italy","18","3","0",164.1,"1830",64.6062992125984
"244",380,"Italy","18","4","0",162,"1840",63.7795275590551
"245",380,"Italy","18","5","0",162.9,"1850",64.1338582677165
"246",380,"Italy","18","6","0",163.1,"1860",64.2125984251968
"247",380,"Italy","18","7","0",163.5,"1870",64.3700787401575
"248",380,"Italy","18","8","0",163.9,"1880",64.5275590551181
"249",380,"Italy","18","9","0",164.7,"1890",64.8425196850394
"250",380,"Italy","19","0","0",165.6,"1900",65.1968503937008
"251",380,"Italy","19","1","0",166.3,"1910",65.4724409448819
"252",380,"Italy","19","2","0",167.3,"1920",65.8661417322835
"253",380,"Italy","19","3","0",168.1,"1930",66.1811023622047
"254",380,"Italy","19","4","0",169.3,"1940",66.6535433070866
"255",380,"Italy","19","5","0",171.3,"1950",67.4409448818898
"256",380,"Italy","19","6","0",173,"1960",68.1102362204724
"257",380,"Italy","19","7","0",174.1,"1970",68.5433070866142
"258",380,"Italy","19","8","0",174.48,"1980",68.6929133858268
"259",620,"Portugal","18","1","0",165.493,"1810",65.1547244094488
"260",620,"Portugal","18","2","0",166.338,"1820",65.4874015748031
"261",620,"Portugal","18","3","0",165.292,"1830",65.0755905511811
"262",620,"Portugal","18","4","0",163.539,"1840",64.3854330708661
"263",620,"Portugal","18","5","0",164.16,"1850",64.6299212598425
"264",620,"Portugal","18","6","0",164.066,"1860",64.5929133858268
"265",620,"Portugal","18","7","0",164.688,"1870",64.8377952755906
"266",620,"Portugal","18","8","0",164.161,"1880",64.6303149606299
"267",620,"Portugal","18","9","0",164.15,"1890",64.6259842519685
"268",620,"Portugal","19","0","0",163.774,"1900",64.4779527559055
"269",620,"Portugal","19","1","0",164.491,"1910",64.7602362204724
"270",620,"Portugal","19","2","0",164.88,"1920",64.9133858267716
